Key;Name;VM_ID;Request number;Description;OS;DNS Name;Server Type;VLANs;IP address;DNS;Gateway;Subnet;vHDD;vCPU;vRAM;Location VM;Lifetime;Services;Cluster;First Administrator;Other Administrators;Owner;AD Admin Group;Diagnostics;Last OS Update Time;Security scan;Status;Created;Updated;Deleted;Deletion date
CMDB-306760;AST;;;;;;;;;;;;26;2;4;;;;;;;;;;;;Stopped;29.01.21;31.01.21;true;
CMDB-305868;centreon-central-20.10;VirtualMachine-vm-87990;;;;centreon-central;;;;;;;72;1;4;;;;;Слуднева Екатерина Николаевна;Ахмедов Аскер Рамисович;;;;;;Stopped;25.01.21;13.07.21;false;
CMDB-305949;lab1-T-ESXI-01;VirtualMachine-vm-969;;;Other (64-bit);esx1;;;10.25.7.11;10.25.0.13,10.25.0.14;;;516;8;32;;;;;Слуднева Екатерина Николаевна;Слуднева Екатерина Николаевна;;;;;;Stopped;25.01.21;7.10.21;false;
CMDB-76754;MMS-SRV-MSAPP1;VirtualMachine-vm-8970;;АСУТП;CentOS 7 (64-bit);mms-srv-msapp1;Продуктив;;10.25.16.7,172.17.42.1;10.25.0.5,10.25.0.6;10.25.16.1;10.25.16.0/28;60;4;16;Заводоуправление;;MES;;Гусляков Владислав Михайлович;Карант Валерий Витальевич;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;15.07.21;false;
CMDB-76796;MMZ-CA;VirtualMachine-vm-922;;Сервер центра сертификации CA, продакшн, новый;Microsoft Windows Server 2012 (64-bit);mmz-ca.mmzavod.local;Продуктив;;10.25.0.12;10.25.0.5,10.25.0.6;10.25.0.1;10.25.0.0/27;40;1;4;Заводоуправление;;Центр Сертификации;;Щербинин Андрей Владимирович;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;16.07.21;true;
CMDB-76793;MMZ-CONSULTANT;;;Сервер КОНСУЛЬТАНТ, продакшн;;;Продуктив;;10.25.32.7;10.25.0.13,10.25.0.14;10.25.32.1;10.25.32.0/28;320;1;4;Заводоуправление;;Консультант Плюс;;Грибков Алексей Константинович;Грибков Алексей Константинович;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;9.06.21;true;
CMDB-76788;MMZ-DC04;VirtualMachine-vm-3244;;Корпоративная служба каталога;Microsoft Windows Server 2012 (64-bit);mmz-dc04.mmzavod.local;Продуктив;;10.25.0.6;10.25.0.5,10.25.0.6;10.25.0.1;10.25.0.0/27;40;4;4;Заводоуправление;;Active Directory;;Щербинин Андрей Владимирович;Щербинин Андрей Владимирович;;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;7.10.21;false;
CMDB-76806;MMZ-ESTAFF;;;"Сервер отдела кадров. ПО ""E-Staf""";Microsoft Windows Server 2012 (64-bit);mmz-estaff.npo.izhmash;Продуктив;;10.25.28.7;10.25.0.13,10.25.0.14;10.25.28.1;10.25.28.0/27;48;1;4;Заводоуправление;;Estaff;;Грибков Алексей Константинович;Туктаров Дамир Бариевич [X];Максимова Мария Владимировна [X];AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;15.06.21;true;
CMDB-76896;MMZ-GAZPROM;VirtualMachine-vm-2101;;Взаимодействие с банками;Microsoft Windows 7 (32-bit);MMZ-GAZPROM.npo.izhmash;Продуктив;;10.25.32.10;10.25.0.13,10.25.0.14;10.25.32.1;10.25.32.0/28;74;2;4;Заводоуправление;;Банк-Клиент;;Грибков Алексей Константинович;Туктаров Дамир Бариевич [X];;AD-MMZ-CompanyAdmin;;;;Running;18.12.19;13.07.21;false;
CMDB-76776;MMZ-MES;VirtualMachine-vm-2847;;Складской учет WMS;;;Продуктив;;10.26.9.19,10.25.26.9;10.25.0.13,10.25.0.14,10.25.0.5,10.25.0.6;10.25.26.1;10.25.26.0/27,10.26.9.0/27;262;4;32;Заводоуправление;;1С WMS;;Гусляков Владислав Михайлович;Стороженко Олег Николаевич [X];;AD-MMZ-CompanyAdmin;;;;Stopped;18.12.19;14.07.21;true;
CMDB-305854;mmz-P-FRNAS-01;VirtualMachine-vm-5763;;;FreeBSD Pre-11 versions (64-bit);mmz-nas-frnas1.mmzavod.local;;;;;;;6176;4;16;;;;;Слуднева Екатерина Николаевна;Ахмедов Аскер Рамисович;;;;;;Stopped;25.01.21;7.10.21;false;
CMDB-305958;mmz-P-WIN2003PRINT2;;;Сервер сканирования.;;mmz-w2003.mmzavod.local;;;;;;;300;4;2;;;;;;;;;;;;Stopped;25.01.21;12.07.21;true;
CMDB-305976;MMZ-PC-9998;;;Щербинин А.В.;Microsoft Windows 7 (64-bit);MMZ-PC-9998.npo.izhmash;;;10.24.77.2;10.25.0.13,10.25.0.14;10.24.77.1;10.24.77.0/24;32;1;2;;;;;Щербинин Андрей Владимирович;Щербинин Андрей Владимирович;;;;;;Stopped;25.01.21;12.07.21;true;
CMDB-134199;MMZ-PC-9999;VirtualMachine-vm-49575;RFC-8319;For Kokornikov IV;;MMZ-PC-9999.npo.izhmash;Продуктив;VLAN_Admins_77;10.24.77.21;10.25.0.13,10.25.0.14;10.24.77.1;10.24.77.0/27;220;2;16;;;VDI;;Кокорников Илья Владимирович;Слуднева Екатерина Николаевна;Кокорников Илья Владимирович;;;;;Stopped;4.09.20;7.10.21;false;
CMDB-324275;MMZ-PCV-1716;VirtualMachine-vm-110016;;;Microsoft Windows 10 (64-bit);MMZ-PCV-1716.npo.izhmash;;;10.24.77.24;10.25.0.13,10.25.0.14;10.24.77.1;10.24.77.0/27;104;2;8;;;;;Кокорников Илья Владимирович;Слуднева Екатерина Николаевна;Кокорников Илья Владимирович;;;;;Running;27.05.21;13.07.21;false;
CMDB-323503;MMZ-PCV-42020;VirtualMachine-vm-109125;;;Ubuntu Linux (64-bit);mmz-pcv-42020.npo.izhmash;Продуктив;;10.24.77.22;10.25.0.13,10.25.0.14;10.24.77.1;10.24.77.0/27;48;2;8;;;;;Кокорников Илья Владимирович;Слуднева Екатерина Николаевна;;;;;;Running;20.05.21;4.08.21;false;
CMDB-321308;MMZ-PCV-8998;VirtualMachine-vm-106535;;;;DESKTOP-CKTH2GM;;;10.24.126.25;10.25.0.13,10.25.0.14;10.24.126.1;10.24.126.0/24;100;2;4;;;;;Слуднева Екатерина Николаевна;Грибков Алексей Константинович;;;;;;Stopped;29.04.21;7.10.21;false;
CMDB-305981;MMZ-PCV-8999;VirtualMachine-vm-53697;;;;DESKTOP-BR8K37E;;;10.24.126.56;10.25.0.13,10.25.0.14;10.24.126.1;10.24.126.0/24;100;2;4;;;;;Слуднева Екатерина Николаевна;Грибков Алексей Константинович;;;;;;Stopped;25.01.21;7.10.21;false;
CMDB-305961;MMZ-PCV-9970;VirtualMachine-vm-54374;;;;;;;10.24.126.144;10.25.0.13,10.25.0.14;10.24.126.1;10.24.126.0/24;107;2;4;;;;;Грибков Алексей Константинович;Грибков Алексей Константинович;;;;;;Running;25.01.21;14.08.21;false;
CMDB-305871;MMZ-PCV-9971;VirtualMachine-vm-53698;;;Microsoft Windows 10 (64-bit);MMZ-PCV-9971.npo.izhmash;;;10.24.126.42;10.25.0.13,10.25.0.14;10.24.126.1;10.24.126.0/24;144;2;4;;;VDI;;Грибков Алексей Константинович;Слуднева Екатерина Николаевна;;;;;;Running;25.01.21;1.10.21;false;
